Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 0,3,0.018,1,0.011,0,0,0,0,0,0,1,0.004,3,0.006,14,0.018,14,0.016,20,0.028,20,0.034,23,0.039,18,0.029,20,0.033,19,0.031,20,0.029,29,0.042,27,0.035,35,0.048,16,0.029,17,0.039,10,0.027,8,0.03,3,0.017
Region 0,Region 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,1,0.001,1,0.001,2,0.003,0,0,1,0.002,0,0,1,0.002,0,0,1,0.001,0,0,1,0.001,1,0.002,1,0.002,0,0,0,0,0,0
Region 0,Region 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,0,0,1,0.002,1,0.002,0,0,0,0,0,0,2,0.003,1,0.001,1,0.001,1,0.002,1,0.002,1,0.003,0,0,0,0
Region 0,Region 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.003,3,0.005,3,0.005,3,0.005,6,0.01,2,0.003,3,0.004,5,0.007,4,0.005,3,0.004,1,0.002,0,0,0,0,2,0.008,1,0.006
Region 0,Region 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 5,1,0.006,0,0,0,0,0,0,0,0,0,0,1,0.002,4,0.005,7,0.008,8,0.011,11,0.019,9,0.015,6,0.01,12,0.02,5,0.008,4,0.006,7,0.01,9,0.012,5,0.007,9,0.017,8,0.018,5,0.014,2,0.008,0,0
Region 0,Region 6,0,0,1,0.011,0,0,1,0.014,0,0,0,0,4,0.008,8,0.01,5,0.006,5,0.007,4,0.007,2,0.003,5,0.008,2,0.003,1,0.002,5,0.007,1,0.001,3,0.004,4,0.005,0,0,2,0.005,0,0,0,0,2,0.011
Region 0,Region 7,2,0.012,0,0,0,0,0,0,0,0,0,0,2,0.004,3,0.004,4,0.005,2,0.003,2,0.003,0,0,2,0.003,2,0.003,4,0.006,6,0.009,7,0.01,13,0.017,4,0.005,2,0.004,2,0.005,2,0.005,0,0,0,0
Region 0,Region 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001,1,0.001,2,0.003,1,0.002,0,0,0,0,0,0,1,0.002,2,0.003,0,0,0,0,4,0.005,1,0.002,1,0.002,0,0,0,0,0,0
Region 0,Region 10,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,1,0.001,0,0,0,0,1,0.002,0,0,0,0,0,0,0,0,1,0.001,0,0,0,0,0,0,0,0,0,0,1,0.003,0,0,0,0
Region 0,Region 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.003,1,0.001,0,0,0,0,0,0,0,0,0,0
Region 0,Region 13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002,7,0.009,5,0.006,1,0.001,2,0.003,1,0.002,0,0,1,0.002,0,0,1,0.001,0,0,1,0.001,2,0.003,0,0,0,0,0,0,1,0.004,0,0
Region 0,Region 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
