Time_Slot,Total_Trips
Date range: 2024-08-15 - 2024-08-15 Time range: 00:00 - 01:00 Trips,52176
Date range: 2024-08-15 - 2024-08-15 Time range: 01:00 - 02:00 Trips,26444
Date range: 2024-08-15 - 2024-08-15 Time range: 02:00 - 03:00 Trips,16505
Date range: 2024-08-15 - 2024-08-15 Time range: 03:00 - 04:00 Trips,13463
Date range: 2024-08-15 - 2024-08-15 Time range: 04:00 - 05:00 Trips,19153
Date range: 2024-08-15 - 2024-08-15 Time range: 05:00 - 06:00 Trips,32929
Date range: 2024-08-15 - 2024-08-15 Time range: 06:00 - 07:00 Trips,50887
Date range: 2024-08-15 - 2024-08-15 Time range: 07:00 - 08:00 Trips,66639
Date range: 2024-08-15 - 2024-08-15 Time range: 08:00 - 09:00 Trips,79874
Date range: 2024-08-15 - 2024-08-15 Time range: 09:00 - 10:00 Trips,79548
Date range: 2024-08-15 - 2024-08-15 Time range: 10:00 - 11:00 Trips,73703
Date range: 2024-08-15 - 2024-08-15 Time range: 11:00 - 12:00 Trips,73129
Date range: 2024-08-15 - 2024-08-15 Time range: 12:00 - 13:00 Trips,76991
Date range: 2024-08-15 - 2024-08-15 Time range: 13:00 - 14:00 Trips,76879
Date range: 2024-08-15 - 2024-08-15 Time range: 14:00 - 15:00 Trips,78165
Date range: 2024-08-15 - 2024-08-15 Time range: 15:00 - 16:00 Trips,78445
Date range: 2024-08-15 - 2024-08-15 Time range: 16:00 - 17:00 Trips,81019
Date range: 2024-08-15 - 2024-08-15 Time range: 17:00 - 18:00 Trips,88539
Date range: 2024-08-15 - 2024-08-15 Time range: 18:00 - 19:00 Trips,95644
Date range: 2024-08-15 - 2024-08-15 Time range: 19:00 - 20:00 Trips,89123
Date range: 2024-08-15 - 2024-08-15 Time range: 20:00 - 21:00 Trips,84386
Date range: 2024-08-15 - 2024-08-15 Time range: 21:00 - 22:00 Trips,80495
Date range: 2024-08-15 - 2024-08-15 Time range: 22:00 - 23:00 Trips,72222
Date range: 2024-08-15 - 2024-08-15 Time range: 23:00 - 00:00 Trips,59449
Date range: 2024-08-16 - 2024-08-16 Time range: 00:00 - 01:00 Trips,66735
Date range: 2024-08-16 - 2024-08-16 Time range: 01:00 - 02:00 Trips,35822
Date range: 2024-08-16 - 2024-08-16 Time range: 02:00 - 03:00 Trips,22818
Date range: 2024-08-16 - 2024-08-16 Time range: 03:00 - 04:00 Trips,16927
Date range: 2024-08-16 - 2024-08-16 Time range: 04:00 - 05:00 Trips,20862
Date range: 2024-08-16 - 2024-08-16 Time range: 05:00 - 06:00 Trips,33138
Date range: 2024-08-16 - 2024-08-16 Time range: 06:00 - 07:00 Trips,49329
Date range: 2024-08-16 - 2024-08-16 Time range: 07:00 - 08:00 Trips,65049
Date range: 2024-08-16 - 2024-08-16 Time range: 08:00 - 09:00 Trips,74121
Date range: 2024-08-16 - 2024-08-16 Time range: 09:00 - 10:00 Trips,73621
Date range: 2024-08-16 - 2024-08-16 Time range: 10:00 - 11:00 Trips,71247
Date range: 2024-08-16 - 2024-08-16 Time range: 11:00 - 12:00 Trips,74426
Date range: 2024-08-16 - 2024-08-16 Time range: 12:00 - 13:00 Trips,79138
Date range: 2024-08-16 - 2024-08-16 Time range: 13:00 - 14:00 Trips,78923
Date range: 2024-08-16 - 2024-08-16 Time range: 14:00 - 15:00 Trips,80374
Date range: 2024-08-16 - 2024-08-16 Time range: 15:00 - 16:00 Trips,81558
Date range: 2024-08-16 - 2024-08-16 Time range: 16:00 - 17:00 Trips,84926
Date range: 2024-08-16 - 2024-08-16 Time range: 17:00 - 18:00 Trips,93273
Date range: 2024-08-16 - 2024-08-16 Time range: 18:00 - 19:00 Trips,97269
Date range: 2024-08-16 - 2024-08-16 Time range: 19:00 - 20:00 Trips,91908
Date range: 2024-08-16 - 2024-08-16 Time range: 20:00 - 21:00 Trips,87604
Date range: 2024-08-16 - 2024-08-16 Time range: 21:00 - 22:00 Trips,85491
Date range: 2024-08-16 - 2024-08-16 Time range: 22:00 - 23:00 Trips,81690
Date range: 2024-08-16 - 2024-08-16 Time range: 23:00 - 00:00 Trips,74143
Date range: 2024-08-17 - 2024-08-17 Time range: 00:00 - 01:00 Trips,85323
Date range: 2024-08-17 - 2024-08-17 Time range: 01:00 - 02:00 Trips,55312
Date range: 2024-08-17 - 2024-08-17 Time range: 02:00 - 03:00 Trips,41058
Date range: 2024-08-17 - 2024-08-17 Time range: 03:00 - 04:00 Trips,30517
Date range: 2024-08-17 - 2024-08-17 Time range: 04:00 - 05:00 Trips,25791
Date range: 2024-08-17 - 2024-08-17 Time range: 05:00 - 06:00 Trips,24637
Date range: 2024-08-17 - 2024-08-17 Time range: 06:00 - 07:00 Trips,33786
Date range: 2024-08-17 - 2024-08-17 Time range: 07:00 - 08:00 Trips,42170
Date range: 2024-08-17 - 2024-08-17 Time range: 08:00 - 09:00 Trips,49735
Date range: 2024-08-17 - 2024-08-17 Time range: 09:00 - 10:00 Trips,59237
Date range: 2024-08-17 - 2024-08-17 Time range: 10:00 - 11:00 Trips,68983
Date range: 2024-08-17 - 2024-08-17 Time range: 11:00 - 12:00 Trips,78139
Date range: 2024-08-17 - 2024-08-17 Time range: 12:00 - 13:00 Trips,83598
Date range: 2024-08-17 - 2024-08-17 Time range: 13:00 - 14:00 Trips,86427
Date range: 2024-08-17 - 2024-08-17 Time range: 14:00 - 15:00 Trips,88524
Date range: 2024-08-17 - 2024-08-17 Time range: 15:00 - 16:00 Trips,87929
Date range: 2024-08-17 - 2024-08-17 Time range: 16:00 - 17:00 Trips,91733
Date range: 2024-08-17 - 2024-08-17 Time range: 17:00 - 18:00 Trips,99921
Date range: 2024-08-17 - 2024-08-17 Time range: 18:00 - 19:00 Trips,98871
Date range: 2024-08-17 - 2024-08-17 Time range: 19:00 - 20:00 Trips,94218
Date range: 2024-08-17 - 2024-08-17 Time range: 20:00 - 21:00 Trips,91098
Date range: 2024-08-17 - 2024-08-17 Time range: 21:00 - 22:00 Trips,90349
Date range: 2024-08-17 - 2024-08-17 Time range: 22:00 - 23:00 Trips,86497
Date range: 2024-08-17 - 2024-08-17 Time range: 23:00 - 00:00 Trips,81177
Date range: 2024-08-18 - 2024-08-18 Time range: 00:00 - 01:00 Trips,79686
Date range: 2024-08-18 - 2024-08-18 Time range: 01:00 - 02:00 Trips,57729
Date range: 2024-08-18 - 2024-08-18 Time range: 02:00 - 03:00 Trips,43182
Date range: 2024-08-18 - 2024-08-18 Time range: 03:00 - 04:00 Trips,33249
Date range: 2024-08-18 - 2024-08-18 Time range: 04:00 - 05:00 Trips,27483
Date range: 2024-08-18 - 2024-08-18 Time range: 05:00 - 06:00 Trips,22939
Date range: 2024-08-18 - 2024-08-18 Time range: 06:00 - 07:00 Trips,27707
Date range: 2024-08-18 - 2024-08-18 Time range: 07:00 - 08:00 Trips,35635
Date range: 2024-08-18 - 2024-08-18 Time range: 08:00 - 09:00 Trips,44075
Date range: 2024-08-18 - 2024-08-18 Time range: 09:00 - 10:00 Trips,56136
Date range: 2024-08-18 - 2024-08-18 Time range: 10:00 - 11:00 Trips,67809
Date range: 2024-08-18 - 2024-08-18 Time range: 11:00 - 12:00 Trips,76180
Date range: 2024-08-18 - 2024-08-18 Time range: 12:00 - 13:00 Trips,81227
Date range: 2024-08-18 - 2024-08-18 Time range: 13:00 - 14:00 Trips,85338
Date range: 2024-08-18 - 2024-08-18 Time range: 14:00 - 15:00 Trips,87261
Date range: 2024-08-18 - 2024-08-18 Time range: 15:00 - 16:00 Trips,88063
Date range: 2024-08-18 - 2024-08-18 Time range: 16:00 - 17:00 Trips,87905
Date range: 2024-08-18 - 2024-08-18 Time range: 17:00 - 18:00 Trips,89871
Date range: 2024-08-18 - 2024-08-18 Time range: 18:00 - 19:00 Trips,90675
Date range: 2024-08-18 - 2024-08-18 Time range: 19:00 - 20:00 Trips,79986
Date range: 2024-08-18 - 2024-08-18 Time range: 20:00 - 21:00 Trips,77330
Date range: 2024-08-18 - 2024-08-18 Time range: 21:00 - 22:00 Trips,72868
Date range: 2024-08-18 - 2024-08-18 Time range: 22:00 - 23:00 Trips,61374
Date range: 2024-08-18 - 2024-08-18 Time range: 23:00 - 00:00 Trips,46717
