origin,destination,hour,cluster,leaving,heading,activity,people
0,0,8-9,1,residential,education,Meal->Work,243
0,0,8-9,2,residential,commercial,Meal->Work,378
0,0,8-9,3,residential,commercial,Meal->Work,324
0,0,8-9,4,residential,commercial,Meal->Work,297
0,0,8-9,5,residential,entertainment,Meal->Leisure,54
0,0,8-9,6,residential,education,Meal->Work,324
0,0,8-9,7,residential,industrial,Meal->Work,243
0,0,8-9,8,residential,commercial,Meal->Work,351
0,1,8-9,1,residential,education,Sleep->Work,34
0,1,8-9,2,residential,commercial,Sleep->Work,53
0,1,8-9,3,residential,commercial,Sleep->Work,46
0,1,8-9,4,residential,commercial,Sleep->Work,42
0,1,8-9,5,residential,entertainment,Sleep->Leisure,8
0,1,8-9,6,residential,education,Sleep->Work,46
0,1,8-9,7,residential,commercial,Sleep->Work,34
0,1,8-9,8,residential,commercial,Sleep->Work,49
0,2,8-9,1,residential,education,Sleep->Work,35
0,2,8-9,2,residential,commercial,Sleep->Work,55
0,2,8-9,3,residential,commercial,Sleep->Work,47
0,2,8-9,4,residential,commercial,Sleep->Work,43
0,2,8-9,5,residential,entertainment,Sleep->Leisure,8
0,2,8-9,6,residential,education,Sleep->Work,47
0,2,8-9,7,residential,industrial,Sleep->Work,35
0,2,8-9,8,residential,commercial,Sleep->Work,51
0,3,8-9,1,residential,education,Sleep->Work,133
0,3,8-9,2,residential,commercial,Sleep->Work,206
0,3,8-9,3,residential,commercial,Sleep->Work,177
0,3,8-9,4,residential,commercial,Sleep->Work,162
0,3,8-9,5,residential,entertainment,Sleep->Leisure,29
0,3,8-9,6,residential,education,Sleep->Work,177
0,3,8-9,7,residential,industrial,Sleep->Work,133
0,3,8-9,8,residential,commercial,Sleep->Work,191
0,4,8-9,1,residential,education,Sleep->Work,15
0,4,8-9,2,residential,commercial,Sleep->Work,23
0,4,8-9,3,residential,commercial,Sleep->Work,20
0,4,8-9,4,residential,commercial,Sleep->Work,18
0,4,8-9,5,residential,entertainment,Sleep->Leisure,3
0,4,8-9,6,residential,education,Sleep->Work,20
0,4,8-9,7,residential,industrial,Sleep->Work,15
0,4,8-9,8,residential,commercial,Sleep->Work,21
0,5,8-9,1,residential,education,Sleep->Work,18
0,5,8-9,2,residential,commercial,Sleep->Work,28
0,5,8-9,3,residential,commercial,Sleep->Work,24
0,5,8-9,4,residential,commercial,Sleep->Work,22
0,5,8-9,5,residential,entertainment,Sleep->Leisure,4
0,5,8-9,6,residential,education,Sleep->Work,24
0,5,8-9,7,residential,industrial,Sleep->Work,18
0,5,8-9,8,residential,commercial,Sleep->Work,26
0,6,8-9,1,residential,education,Sleep->Work,4
