Origin,Destination,Flow,Percent
Region 0,Region 0,1754,2.632
Region 0,Region 1,307,0.461
Region 0,Region 2,365,0.548
Region 0,Region 3,1298,1.948
Region 0,Region 4,178,0.267
Region 0,Region 5,186,0.279
Region 0,Region 6,43,0.065
Region 0,Region 7,167,0.251
Region 0,Region 8,51,0.077
Region 0,Region 9,891,1.337
Region 0,Region 10,169,0.254
Region 0,Region 11,133,0.2
Region 0,Region 12,146,0.219
Region 0,Region 13,0,0
Region 0,Region 14,113,0.17
Region 0,Region 15,167,0.251
Region 0,Region 16,222,0.333
Region 1,Region 0,135,0.203
Region 1,Region 1,3526,5.291
Region 1,Region 2,167,0.251
Region 1,Region 3,150,0.225
Region 1,Region 4,255,0.383
Region 1,Region 5,407,0.611
Region 1,Region 6,132,0.198
Region 1,Region 7,866,1.3
Region 1,Region 8,34,0.051
Region 1,Region 9,72,0.108
Region 1,Region 10,249,0.374
Region 1,Region 11,629,0.944
Region 1,Region 12,32,0.048
Region 1,Region 13,0,0
Region 1,Region 14,80,0.12
Region 1,Region 15,358,0.537
Region 1,Region 16,303,0.455
Region 2,Region 0,310,0.465
Region 2,Region 1,244,0.366
Region 2,Region 2,3412,5.12
Region 2,Region 3,847,1.271
Region 2,Region 4,55,0.083
Region 2,Region 5,15,0.023
Region 2,Region 6,46,0.069
Region 2,Region 7,72,0.108
Region 2,Region 8,2,0.003
Region 2,Region 9,214,0.321
Region 2,Region 10,46,0.069
Region 2,Region 11,286,0.429
Region 2,Region 12,102,0.153
Region 2,Region 13,0,0
Region 2,Region 14,80,0.12
Region 2,Region 15,471,0.707
Region 2,Region 16,42,0.063
Region 3,Region 0,1357,2.036
Region 3,Region 1,342,0.513
Region 3,Region 2,609,0.914
Region 3,Region 3,4251,6.379
Region 3,Region 4,164,0.246
Region 3,Region 5,186,0.279
Region 3,Region 6,72,0.108
Region 3,Region 7,165,0.248
Region 3,Region 8,34,0.051
Region 3,Region 9,1088,1.633
Region 3,Region 10,123,0.185
Region 3,Region 11,139,0.209
Region 3,Region 12,193,0.29
Region 3,Region 13,0,0
Region 3,Region 14,128,0.192
Region 3,Region 15,278,0.417
Region 3,Region 16,264,0.396
Region 4,Region 0,80,0.12
Region 4,Region 1,373,0.56
Region 4,Region 2,27,0.041
Region 4,Region 3,75,0.113
Region 4,Region 4,1379,2.069
Region 4,Region 5,177,0.266
Region 4,Region 6,148,0.222
Region 4,Region 7,449,0.674
Region 4,Region 8,81,0.122
Region 4,Region 9,36,0.054
Region 4,Region 10,766,1.149
Region 4,Region 11,90,0.135
Region 4,Region 12,16,0.024
Region 4,Region 13,0,0
Region 4,Region 14,23,0.035
Region 4,Region 15,177,0.266
Region 4,Region 16,33,0.05
Region 5,Region 0,77,0.116
Region 5,Region 1,471,0.707
Region 5,Region 2,15,0.023
Region 5,Region 3,62,0.093
Region 5,Region 4,118,0.177
Region 5,Region 5,969,1.454
Region 5,Region 6,33,0.05
Region 5,Region 7,460,0.69
Region 5,Region 8,84,0.126
Region 5,Region 9,24,0.036
Region 5,Region 10,194,0.291
Region 5,Region 11,51,0.077
Region 5,Region 12,30,0.045
Region 5,Region 13,0,0
Region 5,Region 14,42,0.063
Region 5,Region 15,34,0.051
Region 5,Region 16,130,0.195
Region 6,Region 0,23,0.035
Region 6,Region 1,188,0.282
Region 6,Region 2,20,0.03
Region 6,Region 3,32,0.048
Region 6,Region 4,166,0.249
Region 6,Region 5,41,0.062
Region 6,Region 6,1606,2.41
Region 6,Region 7,357,0.536
Region 6,Region 8,24,0.036
Region 6,Region 9,17,0.026
Region 6,Region 10,755,1.133
Region 6,Region 11,30,0.045
Region 6,Region 12,4,0.006
Region 6,Region 13,0,0
Region 6,Region 14,4,0.006
Region 6,Region 15,76,0.114
Region 6,Region 16,11,0.017
Region 7,Region 0,52,0.078
Region 7,Region 1,1205,1.808
Region 7,Region 2,23,0.035
Region 7,Region 3,49,0.074
Region 7,Region 4,324,0.486
Region 7,Region 5,497,0.746
Region 7,Region 6,340,0.51
Region 7,Region 7,2561,3.843
Region 7,Region 8,105,0.158
Region 7,Region 9,13,0.02
Region 7,Region 10,591,0.887
Region 7,Region 11,96,0.144
Region 7,Region 12,7,0.011
Region 7,Region 13,0,0
Region 7,Region 14,15,0.023
Region 7,Region 15,100,0.15
Region 7,Region 16,44,0.066
Region 8,Region 0,11,0.017
Region 8,Region 1,72,0.108
Region 8,Region 2,1,0.002
Region 8,Region 3,9,0.014
Region 8,Region 4,69,0.104
Region 8,Region 5,85,0.128
Region 8,Region 6,31,0.047
Region 8,Region 7,117,0.176
Region 8,Region 8,1338,2.008
Region 8,Region 9,4,0.006
Region 8,Region 10,147,0.221
Region 8,Region 11,3,0.005
Region 8,Region 12,1,0.002
Region 8,Region 13,0,0
Region 8,Region 14,3,0.005
Region 8,Region 15,4,0.006
Region 8,Region 16,24,0.036
Region 9,Region 0,489,0.734
Region 9,Region 1,66,0.099
Region 9,Region 2,114,0.171
Region 9,Region 3,603,0.905
Region 9,Region 4,36,0.054
Region 9,Region 5,44,0.066
Region 9,Region 6,16,0.024
Region 9,Region 7,40,0.06
Region 9,Region 8,6,0.009
Region 9,Region 9,869,1.304
Region 9,Region 10,30,0.045
Region 9,Region 11,27,0.041
Region 9,Region 12,150,0.225
Region 9,Region 13,0,0
Region 9,Region 14,65,0.098
Region 9,Region 15,94,0.141
Region 9,Region 16,74,0.111
Region 10,Region 0,27,0.041
Region 10,Region 1,357,0.536
Region 10,Region 2,17,0.026
Region 10,Region 3,28,0.042
Region 10,Region 4,407,0.611
Region 10,Region 5,223,0.335
Region 10,Region 6,520,0.78
Region 10,Region 7,671,1.007
Region 10,Region 8,129,0.194
Region 10,Region 9,13,0.02
Region 10,Region 10,2129,3.195
Region 10,Region 11,46,0.069
Region 10,Region 12,10,0.015
Region 10,Region 13,0,0
Region 10,Region 14,5,0.008
Region 10,Region 15,41,0.062
Region 10,Region 16,28,0.042
Region 11,Region 0,140,0.21
Region 11,Region 1,538,0.807
Region 11,Region 2,246,0.369
Region 11,Region 3,123,0.185
Region 11,Region 4,81,0.122
Region 11,Region 5,70,0.105
Region 11,Region 6,45,0.068
Region 11,Region 7,127,0.191
Region 11,Region 8,7,0.011
Region 11,Region 9,38,0.057
Region 11,Region 10,43,0.065
Region 11,Region 11,774,1.161
Region 11,Region 12,14,0.021
Region 11,Region 13,0,0
Region 11,Region 14,84,0.126
Region 11,Region 15,320,0.48
Region 11,Region 16,75,0.113
Region 12,Region 0,57,0.086
Region 12,Region 1,67,0.101
Region 12,Region 2,54,0.081
Region 12,Region 3,121,0.182
Region 12,Region 4,22,0.033
Region 12,Region 5,42,0.063
Region 12,Region 6,3,0.005
Region 12,Region 7,25,0.038
Region 12,Region 8,8,0.012
Region 12,Region 9,115,0.173
Region 12,Region 10,29,0.044
