origin,destination,hour,cluster,leaving,heading,activity,people
0,0,8-9,YC_01,residential,commercial,Sleep->Work,1217
0,0,8-9,MP_02,residential,commercial,Sleep->Work,1439
0,0,8-9,LI_04,residential,commercial,Sleep->Work,1106
0,0,8-9,FH_05,residential,commercial,Sleep->Work,1217
0,0,8-9,SY_06,residential,education,Sleep->Work,442
0,0,8-9,HE_07,residential,commercial,Sleep->Work,1549
0,1,8-9,YC_01,residential,commercial,Sleep->Work,68
0,1,8-9,MP_02,residential,commercial,Sleep->Work,80
0,1,8-9,LI_04,residential,commercial,Sleep->Work,61
0,1,8-9,FH_05,residential,commercial,Sleep->Work,68
0,1,8-9,SY_06,residential,education,Sleep->Work,25
0,1,8-9,HE_07,residential,commercial,Sleep->Work,86
0,2,8-9,YC_01,residential,commercial,Sleep->Work,71
0,2,8-9,MP_02,residential,commercial,Sleep->Work,83
0,2,8-9,LI_04,residential,commercial,Sleep->Work,64
0,2,8-9,FH_05,residential,commercial,Sleep->Work,71
0,2,8-9,SY_06,residential,education,Sleep->Work,26
0,2,8-9,HE_07,residential,commercial,Sleep->Work,89
0,3,8-9,YC_01,residential,commercial,Sleep->Work,265
0,3,8-9,MP_02,residential,commercial,Sleep->Work,313
0,3,8-9,LI_04,residential,commercial,Sleep->Work,241
0,3,8-9,FH_05,residential,commercial,Sleep->Work,265
0,3,8-9,SY_06,residential,education,Sleep->Work,96
0,3,8-9,HE_07,residential,commercial,Sleep->Work,337
0,4,8-9,YC_01,residential,commercial,Sleep->Work,30
0,4,8-9,MP_02,residential,commercial,Sleep->Work,35
0,4,8-9,LI_04,residential,commercial,Sleep->Work,27
0,4,8-9,FH_05,residential,commercial,Sleep->Work,30
0,4,8-9,SY_06,residential,education,Sleep->Work,11
0,4,8-9,HE_07,residential,commercial,Sleep->Work,37
0,5,8-9,YC_01,residential,commercial,Sleep->Work,37
0,5,8-9,MP_02,residential,commercial,Sleep->Work,43
0,5,8-9,LI_04,residential,commercial,Sleep->Work,33
0,5,8-9,FH_05,residential,commercial,Sleep->Work,37
0,5,8-9,SY_06,residential,education,Sleep->Work,13
0,5,8-9,HE_07,residential,commercial,Sleep->Work,46
0,6,8-9,YC_01,residential,commercial,Sleep->Work,8
0,6,8-9,MP_02,residential,commercial,Sleep->Work,9
0,6,8-9,LI_04,residential,commercial,Sleep->Work,7
0,6,8-9,FH_05,residential,commercial,Sleep->Work,8
0,6,8-9,SY_06,residential,education,Sleep->Work,3
0,6,8-9,HE_07,residential,commercial,Sleep->Work,10
0,7,8-9,YC_01,residential,commercial,Sleep->Work,29
0,7,8-9,MP_02,residential,commercial,Sleep->Work,34
0,7,8-9,LI_04,residential,commercial,Sleep->Work,26
0,7,8-9,FH_05,residential,commercial,Sleep->Work,29
0,7,8-9,SY_06,residential,education,Sleep->Work,11
