Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 0,6,0.021,1,0.006,1,0.008,0,0,2,0.037,0,0,0,0,2,0.025,4,0.024,10,0.026,22,0.045,20,0.043,9,0.023,15,0.04,10,0.026,11,0.027,11,0.027,11,0.023,28,0.053,9,0.019,9,0.018,15,0.033,9,0.024,7,0.022
Region 0,Region 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.005,3,0.006,3,0.007,0,0,1,0.003,0,0,0,0,0,0,1,0.002,0,0,6,0.012,0,0,0,0,1,0.003,0,0
Region 0,Region 3,0,0,1,0.006,1,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.005,0,0,0,0,1,0.002,1,0.002,1,0.002,0,0,0,0,0,0,0,0,0,0
Region 0,Region 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,1,0.002,1,0.002,1,0.003,0,0,0,0,0,0,2,0.005,1,0.002,1,0.002,1,0.002,0,0,2,0.004,3,0.008,1,0.003
Region 0,Region 5,0,0,0,0,1,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.021,0,0,1,0.006,1,0.003,2,0.004,3,0.007,2,0.005,1,0.003,0,0,0,0,0,0,0,0,1,0.002,0,0,0,0,0,0,0,0,0,0
Region 0,Region 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 10,7,0.025,3,0.018,1,0.008,1,0.012,1,0.018,0,0,0,0,0,0,5,0.03,6,0.016,5,0.01,12,0.026,13,0.033,4,0.011,5,0.013,2,0.005,4,0.01,10,0.021,12,0.023,7,0.014,3,0.006,8,0.017,7,0.018,6,0.019
Region 0,Region 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 12,2,0.007,0,0,0,0,0,0,1,0.018,0,0,1,0.021,1,0.012,2,0.012,2,0.005,5,0.01,2,0.004,3,0.008,2,0.005,2,0.005,1,0.002,2,0.005,0,0,0,0,0,0,1,0.002,0,0,0,0,2,0.006
Region 0,Region 13,0,0,3,0.018,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,0,0,2,0.004,3,0.007,1,0.003,2,0.005,2,0.005,2,0.005,3,0.007,1,0.002,3,0.006,5,0.01,6,0.012,2,0.004,2,0.005,0,0
Region 0,Region 14,0,0,1,0.006,0,0,1,0.012,0,0,0,0,2,0.042,4,0.049,5,0.03,2,0.005,7,0.014,5,0.011,4,0.01,3,0.008,1,0.003,1,0.002,0,0,3,0.006,3,0.006,1,0.002,2,0.004,2,0.004,2,0.005,1,0.003
