Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 0,25,0.291,9,0.211,6,0.229,4,0.193,2,0.087,8,0.188,18,0.171,52,0.238,86,0.235,72,0.232,68,0.274,71,0.299,94,0.356,106,0.359,105,0.369,86,0.279,102,0.31,138,0.35,140,0.343,141,0.464,110,0.509,80,0.407,47,0.301,25,0.207
Region 0,Region 1,0,0,1,0.023,0,0,0,0,0,0,1,0.023,4,0.038,3,0.014,2,0.005,3,0.01,0,0,4,0.017,1,0.004,2,0.007,4,0.014,3,0.01,2,0.006,4,0.01,2,0.005,4,0.013,1,0.005,0,0,1,0.006,1,0.008
Region 0,Region 2,0,0,0,0,1,0.038,0,0,0,0,0,0,0,0,6,0.027,6,0.016,6,0.019,8,0.032,3,0.013,3,0.011,5,0.017,0,0,2,0.006,4,0.012,2,0.005,5,0.012,5,0.016,5,0.023,5,0.025,3,0.019,2,0.017
Region 0,Region 3,1,0.012,1,0.023,1,0.038,1,0.048,0,0,0,0,0,0,5,0.023,10,0.027,10,0.032,6,0.024,2,0.008,6,0.023,8,0.027,6,0.021,5,0.016,11,0.033,7,0.018,4,0.01,4,0.013,2,0.009,3,0.015,3,0.019,3,0.025
Region 0,Region 4,0,0,1,0.023,1,0.038,2,0.096,1,0.043,1,0.023,5,0.048,11,0.05,8,0.022,6,0.019,6,0.024,7,0.03,3,0.011,2,0.007,7,0.025,4,0.013,3,0.009,7,0.018,10,0.025,6,0.02,3,0.014,4,0.02,5,0.032,1,0.008
Region 0,Region 5,1,0.012,2,0.047,0,0,0,0,2,0.087,0,0,1,0.01,6,0.027,15,0.041,4,0.013,1,0.004,3,0.013,1,0.004,5,0.017,2,0.007,1,0.003,2,0.006,5,0.013,4,0.01,2,0.007,3,0.014,0,0,4,0.026,1,0.008
Region 0,Region 6,2,0.023,0,0,1,0.038,0,0,0,0,0,0,0,0,1,0.005,3,0.008,4,0.013,0,0,1,0.004,2,0.008,0,0,3,0.011,1,0.003,1,0.003,5,0.013,2,0.005,1,0.003,0,0,2,0.01,2,0.013,0,0
Region 0,Region 7,11,0.128,4,0.094,2,0.076,2,0.096,4,0.173,7,0.164,12,0.114,52,0.238,97,0.265,56,0.18,41,0.165,43,0.181,40,0.151,41,0.139,48,0.169,54,0.175,56,0.17,59,0.149,57,0.14,36,0.118,18,0.083,24,0.122,17,0.109,18,0.149
Region 0,Region 8,2,0.023,1,0.023,2,0.076,1,0.048,0,0,0,0,0,0,2,0.009,16,0.044,20,0.064,9,0.036,5,0.021,11,0.042,14,0.047,7,0.025,15,0.049,12,0.037,16,0.041,23,0.056,7,0.023,5,0.023,5,0.025,7,0.045,7,0.058
Region 0,Region 9,0,0,0,0,0,0,0,0,0,0,1,0.023,0,0,0,0,1,0.003,0,0,0,0,5,0.021,2,0.008,0,0,1,0.004,2,0.006,0,0,0,0,1,0.002,0,0,3,0.014,0,0,0,0,0,0
Region 0,Region 10,1,0.012,0,0,0,0,0,0,2,0.087,3,0.07,1,0.01,4,0.018,3,0.008,3,0.01,2,0.008,4,0.017,0,0,1,0.003,2,0.007,1,0.003,1,0.003,1,0.003,0,0,0,0,0,0,1,0.005,0,0,0,0
Region 0,Region 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0,0,1,0.003,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,0,0,2,0.005,1,0.003,0,0,0,0,3,0.019,0,0
Region 0,Region 12,0,0,0,0,0,0,0,0,1,0.043,1,0.023,2,0.019,1,0.005,4,0.011,2,0.006,5,0.02,1,0.004,2,0.008,2,0.007,2,0.007,1,0.003,5,0.015,2,0.005,3,0.007,5,0.016,1,0.005,0,0,1,0.006,0,0
