Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 0,340,3.784,156,4.126,78,3.384,65,4.246,72,4.784,207,6.953,543,7.038,1529,8.275,3039,8.726,3084,7.931,2388,7.567,2169,7.675,2210,7.613,2304,7.334,2293,7.155,2436,7.108,2783,7.515,3289,7.545,3333,7.237,2133,6.143,1529,6.253,1216,5.573,920,5.062,540,3.846
Region 0,Region 1,7,0.078,2,0.053,1,0.043,2,0.131,2,0.133,3,0.101,6,0.078,26,0.141,62,0.178,74,0.19,55,0.174,37,0.131,38,0.131,40,0.127,51,0.159,32,0.093,46,0.124,80,0.184,86,0.187,56,0.161,51,0.209,41,0.188,27,0.149,16,0.114
Region 0,Region 2,9,0.1,5,0.132,2,0.087,1,0.065,4,0.266,1,0.034,15,0.194,39,0.211,106,0.304,157,0.404,91,0.288,41,0.145,49,0.169,38,0.121,38,0.119,41,0.12,50,0.135,104,0.239,193,0.419,143,0.412,35,0.143,35,0.16,24,0.132,17,0.121
Region 0,Region 3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.039,0,0,0,0,2,0.005,3,0.01,5,0.018,1,0.003,1,0.003,0,0,1,0.003,3,0.008,2,0.005,7,0.015,3,0.009,3,0.012,3,0.014,2,0.011,2,0.014
Region 0,Region 4,29,0.323,3,0.079,9,0.39,6,0.392,4,0.266,2,0.067,8,0.104,15,0.081,64,0.184,86,0.221,90,0.285,92,0.326,91,0.313,97,0.309,105,0.328,109,0.318,126,0.34,160,0.367,155,0.337,140,0.403,97,0.397,94,0.431,56,0.308,41,0.292
Region 0,Region 5,18,0.2,13,0.344,10,0.434,10,0.653,9,0.598,21,0.705,44,0.57,102,0.552,148,0.425,120,0.309,124,0.393,121,0.428,104,0.358,93,0.296,109,0.34,102,0.298,103,0.278,126,0.289,131,0.284,86,0.248,64,0.262,44,0.202,39,0.215,15,0.107
Region 0,Region 6,2,0.022,1,0.026,0,0,0,0,0,0,0,0,5,0.065,2,0.011,7,0.02,10,0.026,8,0.025,6,0.021,4,0.014,7,0.022,7,0.022,11,0.032,12,0.032,11,0.025,27,0.059,10,0.029,6,0.025,5,0.023,4,0.022,3,0.021
Region 0,Region 7,16,0.178,3,0.079,6,0.26,2,0.131,0,0,2,0.067,8,0.104,21,0.114,38,0.109,43,0.111,32,0.101,27,0.096,21,0.072,36,0.115,34,0.106,44,0.128,40,0.108,59,0.135,50,0.109,44,0.127,34,0.139,24,0.11,23,0.127,13,0.093
Region 0,Region 8,18,0.2,3,0.079,5,0.217,4,0.261,4,0.266,4,0.134,21,0.272,66,0.357,106,0.304,108,0.278,119,0.377,85,0.301,79,0.272,82,0.261,72,0.225,81,0.236,62,0.167,96,0.22,113,0.245,75,0.216,55,0.225,36,0.165,36,0.198,27,0.192
Region 0,Region 9,0,0,1,0.026,1,0.043,0,0,0,0,0,0,0,0,1,0.005,1,0.003,7,0.018,3,0.01,3,0.011,3,0.01,2,0.006,1,0.003,2,0.006,3,0.008,3,0.007,3,0.007,2,0.006,1,0.004,1,0.005,1,0.006,1,0.007
Region 0,Region 10,9,0.1,6,0.159,2,0.087,3,0.196,1,0.066,3,0.101,8,0.104,24,0.13,44,0.126,39,0.1,59,0.187,49,0.173,37,0.127,36,0.115,44,0.137,36,0.105,49,0.132,77,0.177,70,0.152,36,0.104,20,0.082,28,0.128,21,0.116,9,0.064
Region 0,Region 11,3,0.033,0,0,2,0.087,3,0.196,1,0.066,3,0.101,5,0.065,10,0.054,10,0.029,18,0.046,13,0.041,6,0.021,11,0.038,14,0.045,11,0.034,12,0.035,15,0.041,19,0.044,28,0.061,14,0.04,11,0.045,12,0.055,5,0.028,8,0.057
