id,subtype,class,height,wkt_geometry,area_m2
ddd716fa-b0ec-4e5a-803e-1cf8cc227d57,,,14.0,"POLYGON ((-122.4339638 37.7999743, -122.4342748 37.7999385, -122.4342527 37.7998215, -122.4341589 37.7998325, -122.4341614 37.7998459, -122.434091 37.7998542, -122.4340948 37.7998743, -122.4339749 37.7998884, -122.4339786 37.7999082, -122.433964 37.7999099, -122.4339674 37.7999281, -122.4339546 37.7999295, -122.4339638 37.7999743))",
46379114-f4eb-4041-a372-5cfe04456f25,,,12.0,"POLYGON ((-122.4333636 37.799796, -122.4333888 37.7999089, -122.4333974 37.7999476, -122.4334067 37.7999463, -122.4334094 37.7999586, -122.4334953 37.7999467, -122.4334818 37.7998862, -122.4334806 37.7998806, -122.4334404 37.7998862, -122.4334364 37.7998681, -122.4334766 37.7998625, -122.4334588 37.7997828, -122.4334525 37.7997837, -122.4334453 37.7997786, -122.4334252 37.7997814, -122.4334186 37.7997884, -122.4334047 37.7997903, -122.4333986 37.7997869, -122.43338 37.7997882, -122.4333737 37.7997946, -122.4333636 37.799796))",
dd86cc49-193a-4138-ac34-334f41e6ba85,,,10.0,"POLYGON ((-122.4332892 37.7998831, -122.4333746 37.7998712, -122.4333566 37.7997905, -122.4332712 37.7998024, -122.4332892 37.7998831))",
d91a4288-93cc-4884-bcdc-69fbf1728668,,,7.0,"POLYGON ((-122.4332705 37.7998917, -122.4332815 37.7998901, -122.4332657 37.7998192, -122.4331849 37.7998305, -122.4332007 37.7999014, -122.4332053 37.7999007, -122.433211 37.7999261, -122.4332761 37.7999171, -122.4332705 37.7998917))",
3983b4d1-88a3-4635-84fb-50b50155a420,,,9.0,"POLYGON ((-122.4324715 37.7998967, -122.4325308 37.7998902, -122.4325211 37.7998344, -122.4324269 37.7998447, -122.4323652 37.7998515, -122.432375 37.7999073, -122.4324715 37.7998967))",
e9526036-688f-4a38-869d-4d362f3b3c49,,,10.0,"POLYGON ((-122.4325873 37.7999586, -122.4325725 37.7998845, -122.4325308 37.7998902, -122.4324715 37.7998967, -122.4324742 37.7999103, -122.4323613 37.7999244, -122.4323588 37.7999116, -122.4322627 37.7999236, -122.4322788 37.7999988, -122.4323032 37.7999957, -122.4323559 37.7999892, -122.4323544 37.7999817, -122.4323846 37.7999779, -122.4323827 37.7999686, -122.4324059 37.7999657, -122.4324079 37.7999758, -122.4324645 37.7999687, -122.4324625 37.7999585, -122.4324703 37.7999575, -122.4324736 37.7999743, -122.4325876 37.7999601, -122.4325873 37.7999586))",
48fb1af1-0459-47bd-82cf-d122397981fc,,,8.4,"POLYGON ((-122.4321383 37.799933, -122.4321494 37.7999988, -122.4322103 37.7999923, -122.4321827 37.7998299, -122.4320972 37.799839, -122.4321151 37.7999355, -122.4321383 37.799933))",
cd9a02ff-4aad-4e04-a9ca-86c3a661385e,,,8.0,"POLYGON ((-122.4320153 37.799761, -122.4320069 37.7997621, -122.4320379 37.7999178, -122.4321101 37.7999092, -122.4320972 37.799839, -122.4320793 37.7997567, -122.4320569 37.7997595, -122.4320547 37.7997483, -122.4320137 37.7997534, -122.4320153 37.799761))",
6a8108a0-31b3-4d3b-a3e6-f5eb1d237879,,,9.0,"POLYGON ((-122.4320379 37.7999178, -122.4320069 37.7997621, -122.4319725 37.7997662, -122.4319701 37.7997535, -122.4319235 37.7997591, -122.4319385 37.7998373, -122.4319217 37.7998393, -122.4319294 37.7998797, -122.4319717 37.7998746, -122.4319812 37.7999244, -122.4320326 37.7999183, -122.4320379 37.7999178))",
cd875035-c53d-46e3-8e83-c8d65f030435,,,10.0,"POLYGON ((-122.431723 37.7997229, -122.4318074 37.7997129, -122.4317993 37.79967, -122.4317855 37.7996717, -122.4317814 37.7996502, -122.4317961 37.7996484, -122.4317871 37.7996011, -122.4317279 37.7996082, -122.4317249 37.7995924, -122.4316974 37.7995954, -122.4317024 37.799616, -122.4317178 37.7996959, -122.4317224 37.7997195, -122.431723 37.7997229))",
658d20f5-56e5-465d-8c43-3852058e3b07,,,10.0,"POLYGON ((-122.43181 37.7997294, -122.4318924 37.7997203, -122.4318787 37.7996438, -122.431866 37.7996452, -122.4318648 37.7996384, -122.4318776 37.799637, -122.4318653 37.7995679, -122.4318326 37.7995716, -122.4318311 37.7995637, -122.4317817 37.7995692, -122.4317871 37.7996011, -122.4317961 37.7996484, -122.4317965 37.7996524, -122.4318076 37.7996512, -122.4318107 37.7996686, -122.4317993 37.79967, -122.4318074 37.7997129, -122.43181 37.7997294))",
014b56a5-74d7-47bd-9137-58e632153573,,,12.0,"POLYGON ((-122.4318918 37.7996655, -122.4319001 37.7997122, -122.4319747 37.7997039, -122.4319667 37.7996593, -122.4319758 37.7996583, -122.4319747 37.7996522, -122.4319702 37.7996526, -122.4319665 37.7996318, -122.4319362 37.7996352, -122.4319321 37.7996121, -122.4319623 37.7996087, -122.4319673 37.7996083, -122.4319546 37.7995365, -122.4318618 37.7995472, -122.4318747 37.7996187, -122.4319064 37.7996151, -122.431911 37.799641, -122.4318793 37.7996446, -122.4318832 37.7996665, -122.4318918 37.7996655))",
98dc3b5d-0535-48bb-872d-404b7164f208,,,9.0,"POLYGON ((-122.4320217 37.7997174, -122.4320726 37.7997118, -122.4320686 37.7996893, -122.4320612 37.7996476, -122.4320443 37.7996495, -122.4320416 37.7996347, -122.432029 37.7996361, -122.4320271 37.7996253, -122.4320397 37.7996239, -122.4320522 37.7996226, -122.4320354 37.7995276, -122.4319546 37.7995365, -122.4319673 37.7996083, -122.4319752 37.7996074, -122.431983 37.7996513, -122.4319747 37.7996522, -122.4319758 37.7996583, -122.4319854 37.7997126, -122.4320201 37.7997088, -122.4320217 37.7997174))",
6aa46728-db63-41f1-964d-250582f91226,,,10.0,"POLYGON ((-122.4321064 37.7996656, -122.4321473 37.7996611, -122.4321269 37.7995444, -122.4321026 37.7995471, -122.4321008 37.7995364, -122.4320604 37.7995408, -122.4320772 37.7996364, -122.4320598 37.7996383, -122.4320612 37.7996476, -122.4320686 37.7996893, -122.4321097 37.7996848, -122.4321064 37.7996656))",
fa1fe63d-ad1f-420f-a78a-c19107aa5cda,,,6.0,"POLYGON ((-122.4322376 37.799674, -122.4323259 37.7996644, -122.4323159 37.7996096, -122.4323137 37.7995939, -122.4323022 37.7995314, -122.43228 37.7995338, -122.4322761 37.7995118, -122.4322591 37.7995137, -122.4322579 37.7995069, -122.4322235 37.7995107, -122.4322248 37.7995177, -122.432209 37.7995192, -122.432236 37.7996587, -122.4322376 37.799674))",
9b306bca-f5d6-4960-9c22-758172172157,,,6.0,"POLYGON ((-122.4321935 37.7996639, -122.432236 37.7996587, -122.432209 37.7995192, -122.4321638 37.7995247, -122.4321643 37.799527, -122.4321231 37.799532, -122.4321269 37.7995444, -122.4321473 37.7996611, -122.432151 37.799676, -122.4321949 37.7996707, -122.4321935 37.7996639))",
49cea8e9-2489-4540-bc21-5a0261b14e8c,,,7.0,"POLYGON ((-122.4325192 37.7998235, -122.4325555 37.7998196, -122.4325436 37.7997516, -122.4323288 37.799775, -122.4323316 37.7997907, -122.4322902 37.7997953, -122.4322974 37.7998364, -122.432341 37.7998316, -122.432343 37.7998431, -122.4324251 37.7998342, -122.4324269 37.7998447, -122.4325211 37.7998344, -122.4325192 37.7998235))",
7de82d17-1514-4cf0-8fa6-2f817e80a13e,,,12.0,"POLYGON ((-122.4327824 37.799772, -122.4331266 37.7997324, -122.4331062 37.7996219, -122.4328907 37.7996467, -122.4328918 37.7996527, -122.4327631 37.7996675, -122.4327824 37.799772))",
ce355a23-f939-4490-aee0-0dd07fb4e2a1,,,10.0,"POLYGON ((-122.4329181 37.7995815, -122.4330006 37.7995716, -122.4329703 37.7994139, -122.4328886 37.7994238, -122.4329053 37.7995108, -122.432907 37.7995196, -122.4329169 37.7995184, -122.4329205 37.7995371, -122.4329098 37.7995384, -122.4329181 37.7995815))",
aa53f35a-4123-4380-8f20-3b6b16207e69,,,9.0,"POLYGON ((-122.4324306 37.7997638, -122.4325436 37.7997516, -122.432543 37.7997482, -122.4325515 37.7997436, -122.4325471 37.7997217, -122.4325375 37.7997168, -122.4325293 37.7996694, -122.4325359 37.7996647, -122.4325323 37.7996457, -122.4325208 37.7996397, -122.4325109 37.7995833, -122.4325173 37.7995778, -122.4325133 37.7995594, -122.4325042 37.7995537, -122.4324945 37.7994947, -122.4325003 37.7994915, -122.4324962 37.7994754, -122.4324824 37.799466, -122.4324643 37.7994671, -122.432459 37.7994762, -122.4324195 37.7994792, -122.4324138 37.7994742, -122.4323911 37.7994763, -122.4323842 37.7994837, -122.4323773 37.7994845, -122.4323802 37.7994948, -122.4323881 37.7995282, -122.4323937 37.7995276, -122.4324072 37.7996053, -122.4324017 37.7996059, -122.4324088 37.7996468, -122.4324182 37.7996457, -122.4324272 37.7996973, -122.4324352 37.7997432, -122.4324271 37.7997441, -122.4324306 37.7997638))",
8a87878b-a5cf-4d5c-bb11-feaa7c81d302,,,10.0,"POLYGON ((-122.4323339 37.7997079, -122.4324174 37.7996984, -122.4323802 37.7994948, -122.4323718 37.7994958, -122.4323706 37.7994895, -122.4323386 37.7994932, -122.4323402 37.7995021, -122.4323291 37.7995034, -122.4323274 37.7994944, -122.4322961 37.7994979, -122.4323022 37.7995314, -122.4323137 37.7995939, -122.4323359 37.7995914, -122.4323388 37.799607, -122.4323159 37.7996096, -122.4323259 37.7996644, -122.4323339 37.7997079))",
c11471d8-729f-4678-9170-555796404418,,,12.0,"POLYGON ((-122.4322131 37.7992513, -122.432437 37.7992275, -122.4324351 37.7992145, -122.4324439 37.7992136, -122.4324399 37.7991893, -122.4324261 37.7991907, -122.4324229 37.7991713, -122.4324329 37.7991703, -122.4324293 37.7991496, -122.4323268 37.7991602, -122.4323319 37.7991898, -122.4322767 37.7991955, -122.4322716 37.7991659, -122.4322 37.7991733, -122.432212 37.7992445, -122.4322131 37.7992513))",
bc1796f1-2eb2-404b-985e-e3ce3022c5be,,,10.0,"POLYGON ((-122.4319746 37.7993338, -122.4320631 37.7993211, -122.4320384 37.7992226, -122.4320293 37.799224, -122.4320175 37.7991769, -122.4319624 37.7991855, -122.4319742 37.7992327, -122.4319535 37.799236, -122.4319746 37.7993338))",
29c5d2de-a6aa-4435-8c59-0d0cefa88049,,,10.0,"POLYGON ((-122.4321533 37.7993293, -122.432449 37.7992978, -122.4324439 37.7992682, -122.4324518 37.7992674, -122.4324466 37.7992374, -122.4324388 37.7992382, -122.432437 37.7992275, -122.4322131 37.7992513, -122.432212 37.7992445, -122.4321402 37.7992522, -122.4321533 37.7993293))",
803f9558-b39d-4cbf-b876-82cdb7dd84af,,,9.0,"POLYGON ((-122.4316313 37.7993784, -122.4317913 37.799359, -122.4317474 37.7991333, -122.4317159 37.7991371, -122.4317218 37.7991673, -122.4316934 37.7991708, -122.431704 37.7992254, -122.4316916 37.7992269, -122.4317022 37.7992814, -122.4316795 37.7992841, -122.4316689 37.7992296, -122.4316586 37.7992309, -122.431648 37.7991762, -122.4316176 37.7991799, -122.4316118 37.7991496, -122.4315871 37.7991526, -122.4316313 37.7993784))",
3fecce06-8dae-46bb-aaf1-fcefa017eea0,,,9.0,"POLYGON ((-122.4318204 37.7993545, -122.4319746 37.7993338, -122.4319535 37.799236, -122.431926 37.7991086, -122.4319037 37.7991116, -122.4319111 37.799146, -122.4318802 37.7991501, -122.431891 37.7992004, -122.4318753 37.7992025, -122.4318884 37.7992636, -122.4318743 37.7992655, -122.4318615 37.799206, -122.4318489 37.7992077, -122.4318378 37.7991561, -122.431809 37.7991599, -122.4318017 37.7991258, -122.431772 37.7991298, -122.4318204 37.7993545))",
e86787c4-0461-4d29-a5b9-4f783651d696,,,3.2860124111175537,"POLYGON ((-122.4317636 37.7990298, -122.4316405 37.7990347, -122.4316387 37.7990065, -122.4315531 37.7990099, -122.4315541 37.7990247, -122.4315797 37.7990237, -122.4315844 37.7990977, -122.4317048 37.7990929, -122.4317025 37.7990569, -122.4317652 37.7990544, -122.4317636 37.7990298))",
11a0f923-be96-4611-a363-276d5eeb7513,,,9.0,"POLYGON ((-122.4323268 37.7991602, -122.4324293 37.7991496, -122.4324274 37.7991383, -122.4324064 37.7991404, -122.432396 37.799077, -122.4322651 37.7990907, -122.4322181 37.7990954, -122.4321956 37.7990978, -122.4321791 37.7990995, -122.4321914 37.7991741, -122.4322 37.7991733, -122.4322716 37.7991659, -122.4323268 37.7991602))",
c211f83a-250e-4610-8225-b8cdad791204,,,10.0,"POLYGON ((-122.4323897 37.7990336, -122.4323854 37.7990082, -122.432363 37.79901, -122.4321841 37.7990297, -122.4321956 37.7990978, -122.4322181 37.7990954, -122.4322173 37.7990908, -122.4322643 37.7990859, -122.4322651 37.7990907, -122.432396 37.799077, -122.432405 37.799076, -122.4323978 37.7990328, -122.4323897 37.7990336))",
e53426d2-9e5e-48e8-8236-a247ff7c18a9,,,6.0,"POLYGON ((-122.4320168 37.7990913, -122.4321085 37.7990822, -122.4320881 37.7989548, -122.4319539 37.7989682, -122.4319657 37.7990417, -122.4320082 37.7990374, -122.4320168 37.7990913))",
9502acf3-840b-4bc0-a09c-349c40fc47b5,,,7.1,"POLYGON ((-122.4321469 37.798969, -122.4321581 37.7990326, -122.4321841 37.7990297, -122.432363 37.79901, -122.4323529 37.7989525, -122.4322726 37.7989614, -122.4322697 37.7989449, -122.4323501 37.798936, -122.4323421 37.7988904, -122.4322059 37.798906, -122.4322157 37.7989614, -122.4321469 37.798969))",
f2cb2aed-08a5-4f61-8fff-70ba5316a040,,,6.0,"POLYGON ((-122.4323421 37.7988904, -122.4323739 37.7988867, -122.4323604 37.7988134, -122.4323513 37.7988145, -122.4322207 37.7988295, -122.4322282 37.79887, -122.4321323 37.798881, -122.4321384 37.7989138, -122.4322059 37.798906, -122.4323421 37.7988904))",
d8966341-f292-43f0-821c-acafc065a6da,,,9.0,"POLYGON ((-122.431917 37.7989639, -122.4320284 37.7989511, -122.4320138 37.798872, -122.4318825 37.7988871, -122.4318911 37.7989333, -122.431911 37.798931, -122.431917 37.7989639))",
0a00a941-4373-4113-b39d-49b08358c633,,,9.0,"POLYGON ((-122.4316117 37.7989814, -122.4317126 37.7989691, -122.4316982 37.7988947, -122.4315979 37.7989069, -122.4316049 37.7989434, -122.4316117 37.7989814))",
f23f4d2b-f160-43f5-8eed-b9076d369b97,,,7.0,"POLYGON ((-122.4317286 37.7988457, -122.431763 37.7988416, -122.4317489 37.7987693, -122.4317283 37.7986517, -122.4317101 37.7986549, -122.4317081 37.7986444, -122.4316767 37.7986482, -122.4316784 37.7986569, -122.4316641 37.7986586, -122.4316837 37.7987596, -122.431667 37.7987616, -122.4316733 37.7987944, -122.4316791 37.7988241, -122.4317234 37.7988187, -122.4317242 37.7988229, -122.4317286 37.7988457))",
7ae9db8c-172d-415c-b043-e4814a6b1f11,,,10.0,"POLYGON ((-122.4317283 37.7986517, -122.4317489 37.7987693, -122.431764 37.7987675, -122.4317749 37.7988237, -122.4318695 37.7988123, -122.4318338 37.7986291, -122.4318323 37.7986209, -122.4317369 37.7986319, -122.4317404 37.7986503, -122.4317283 37.7986517))",
