Origin,Destination,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 00:00 - 01:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 01:00 - 02:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 02:00 - 03:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 03:00 - 04:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 04:00 - 05:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 05:00 - 06:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 06:00 - 07:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 07:00 - 08:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 08:00 - 09:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 09:00 - 10:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 10:00 - 11:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 11:00 - 12:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 12:00 - 13:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 13:00 - 14:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 14:00 - 15:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 15:00 - 16:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 16:00 - 17:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 17:00 - 18:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 18:00 - 19:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 19:00 - 20:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 20:00 - 21:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 21:00 - 22:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 22:00 - 23:00 Percent,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Trips,Date range: 2024-08-27 - 2024-08-27 Time range: 23:00 - 00:00 Percent
Region 0,Region 0,89,0.281,38,0.214,23,0.229,10,0.164,3,0.083,5,0.187,2,0.063,6,0.095,18,0.144,27,0.116,143,0.339,264,0.483,202,0.42,113,0.28,113,0.294,135,0.343,132,0.366,123,0.308,189,0.414,205,0.424,223,0.417,211,0.4,142,0.338,89,0.26
Region 0,Region 1,1,0.003,1,0.006,0,0,0,0,0,0,0,0,1,0.031,0,0,0,0,4,0.017,6,0.014,16,0.029,7,0.015,2,0.005,4,0.01,2,0.005,4,0.011,4,0.01,5,0.011,4,0.008,6,0.011,6,0.011,6,0.014,3,0.009
Region 0,Region 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 7,12,0.038,6,0.034,3,0.03,3,0.049,1,0.028,0,0,0,0,0,0,5,0.04,12,0.052,27,0.064,34,0.062,25,0.052,25,0.062,19,0.049,13,0.033,11,0.031,17,0.043,19,0.042,27,0.056,15,0.028,23,0.044,18,0.043,17,0.05
Region 0,Region 8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 12,11,0.035,2,0.011,2,0.02,1,0.016,0,0,0,0,1,0.031,1,0.016,0,0,5,0.021,17,0.04,23,0.042,10,0.021,7,0.017,11,0.029,5,0.013,6,0.017,5,0.013,9,0.02,10,0.021,15,0.028,8,0.015,5,0.012,5,0.015
Region 0,Region 13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region 0,Region 15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
